"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Bollnäs GIF","IFK Kungälv","7 - 2","1540","Håkan Sjösten","s1112","2011-11-16 19:00:00","2011-11-16","19:00:00","7","2","6","5","1"
"IFK Vänersborg","Vetlanda BK","4 - 3","1546","Kent Lisell","s1112","2011-11-18 19:00:00","2011-11-18","19:00:00","4","3","7","10","1"
"Hammarby IF","Kalix Bandy","6 - 2","1795","Thomas Nordin","s1112","2011-11-18 19:00:00","2011-11-18","19:00:00","6","2","4","15","1"
"GAIS Bandy","Edsbyns IF","2 - 5","1258","Keijo Hyvärinen","s1112","2011-11-19 15:00:00","2011-11-19","15:00:00","2","5","16","8","2"
"Västerås SK/BK","Sandvikens AIK/BK","10 - 4","2573","Roland Fager","s1112","2011-11-19 15:00:00","2011-11-19","15:00:00","10","4","3","13","2"
"IK Sirius","Bollnäs GIF","4 - 5","1165","Ronny Andersson","s1112","2011-11-19 16:00:00","2011-11-19","16:00:00","4","5","2","6","2"
"Villa Lidköping BK","Broberg/Söderhamn","7 - 3","2750","Mikael Karlsson (Grästorp)","s1112","2011-11-19 17:00:00","2011-11-19","17:00:00","7","3","1","12","1"
"IFK Kungälv","TB Västerås","5 - 1","826","Keijo Hyvärinen","s1112","2011-11-20 13:15:00","2011-11-20","13:15:00","5","1","5","9","1"
"Vetlanda BK","Villa Lidköping BK","1 - 6","912","Anders Kristiansson","s1112","2011-11-22 19:15:00","2011-11-22","19:15:00","1","6","10","1","2"
"Broberg/Söderhamn","Hammarby IF","6 - 3","714","Mikael Karlsson (Uppsala)","s1112","2011-11-23 19:00:00","2011-11-23","19:00:00","6","3","12","4","1"
"Bollnäs GIF","IFK Vänersborg","4 - 1","1430","Kent Lisell","s1112","2011-11-23 19:00:00","2011-11-23","19:00:00","4","1","6","7","1"
"Västerås SK/BK","GAIS Bandy","4 - 2","1159","Håkan Sjösten","s1112","2011-11-23 19:00:00","2011-11-23","19:00:00","4","2","3","16","1"
"Sandvikens AIK/BK","IFK Kungälv","5 - 2","1221","Max Johansson","s1112","2011-11-23 19:00:00","2011-11-23","19:00:00","5","2","13","5","1"
"IFK Kungälv","Vetlanda BK","4 - 2","802","Mikael Karlsson (Grästorp)","s1112","2011-11-25 19:00:00","2011-11-25","19:00:00","4","2","5","10","1"
"Edsbyns IF","Västerås SK/BK","9 - 0","1372","Ulrik Bergman","s1112","2011-11-25 19:00:00","2011-11-25","19:00:00","9","0","8","3","1"
"Broberg/Söderhamn","Bollnäs GIF","5 - 4","2270","Mikael Karlsson (Uppsala)","s1112","2011-11-25 20:00:00","2011-11-25","20:00:00","5","4","12","6","1"
"Kalix Bandy","GAIS Bandy","2 - 4","595","Roland Fager","s1112","2011-11-27 12:30:00","2011-11-27","12:30:00","2","4","15","16","2"
"TB Västerås","IK Sirius","4 - 10","370","Christoffer Aidesjö","s1112","2011-11-27 16:00:00","2011-11-27","16:00:00","4","10","9","2","1"
"Villa Lidköping BK","Bollnäs GIF","3 - 3","2658","Peter Öhrlund","s1112","2011-11-29 19:15:00","2011-11-29","19:15:00","3","3","1","6","x"
"Sandvikens AIK/BK","IK Sirius","5 - 1","1577","Jonas Kandell","s1112","2011-11-30 19:00:00","2011-11-30","19:00:00","5","1","13","2","1"
"GAIS Bandy","Broberg/Söderhamn","1 - 1","624","Kent Lisell","s1112","2011-12-02 19:00:00","2011-12-02","19:00:00","1","1","16","12","x"
"Hammarby IF","Vetlanda BK","8 - 2","2445","Jonas Kandell","s1112","2011-12-02 19:00:00","2011-12-02","19:00:00","8","2","4","10","1"
"Edsbyns IF","Sandvikens AIK/BK","6 - 3","1723","Roland Fager","s1112","2011-12-02 19:00:00","2011-12-02","19:00:00","6","3","8","13","1"
"IFK Vänersborg","TB Västerås","4 - 6","1242","Max Johansson","s1112","2011-12-02 19:00:00","2011-12-02","19:00:00","4","6","7","9","2"
"Västerås SK/BK","Kalix Bandy","11 - 3","972","Mikael Karlsson (Uppsala)","s1112","2011-12-03 15:00:00","2011-12-03","15:00:00","11","3","3","15","2"
"IK Sirius","IFK Kungälv","4 - 3","795","Keijo Hyvärinen","s1112","2011-12-03 16:00:00","2011-12-03","16:00:00","4","3","2","5","1"
"GAIS Bandy","IFK Vänersborg","6 - 5","804","Peter Öhrlund","s1112","2011-12-05 19:00:00","2011-12-05","19:00:00","6","5","16","7","1"
"Bollnäs GIF","Hammarby IF","4 - 4","1545","Ulrik Bergman","s1112","2011-12-06 19:15:00","2011-12-06","19:15:00","4","4","6","4","x"
"Kalix Bandy","Edsbyns IF","6 - 2","880","Kent Lisell","s1112","2011-12-07 19:00:00","2011-12-07","19:00:00","6","2","15","8","1"
"Vetlanda BK","GAIS Bandy","4 - 6","865","Peter Öhrlund","s1112","2011-12-07 19:00:00","2011-12-07","19:00:00","4","6","10","16","2"
"Broberg/Söderhamn","Västerås SK/BK","1 - 2","808","Thomas Nordin","s1112","2011-12-07 19:00:00","2011-12-07","19:00:00","1","2","12","3","2"
"TB Västerås","Villa Lidköping BK","4 - 8","229","Anders Kristiansson","s1112","2011-12-07 19:00:00","2011-12-07","19:00:00","4","8","9","1","2"
"IFK Kungälv","IFK Vänersborg","5 - 1","1833","Jonas Kandell","s1112","2011-12-07 19:00:00","2011-12-07","19:00:00","5","1","5","7","1"
"Hammarby IF","TB Västerås","4 - 1","1326","Ronny Andersson","s1112","2011-12-09 19:00:00","2011-12-09","19:00:00","4","1","4","9","1"
"Västerås SK/BK","Vetlanda BK","5 - 2","788","Håkan Sjösten","s1112","2011-12-09 19:00:00","2011-12-09","19:00:00","5","2","3","10","1"
"Kalix Bandy","Sandvikens AIK/BK","3 - 9","1090","Peter Öhrlund","s1112","2011-12-09 19:00:00","2011-12-09","19:00:00","3","9","15","13","2"
"Edsbyns IF","Broberg/Söderhamn","6 - 4","1646","Jonas Kandell","s1112","2011-12-09 19:00:00","2011-12-09","19:00:00","6","4","8","12","1"
"Villa Lidköping BK","IFK Kungälv","5 - 4","2550","Mikael Karlsson (Uppsala)","s1112","2011-12-12 19:00:00","2011-12-12","19:00:00","5","4","1","5","1"
"Broberg/Söderhamn","Kalix Bandy","6 - 2","617","Roland Fager","s1112","2011-12-13 19:15:00","2011-12-13","19:15:00","6","2","12","15","1"
"IFK Vänersborg","IK Sirius","4 - 6","1254","Anders Kristiansson","s1112","2011-12-14 19:00:00","2011-12-14","19:00:00","4","6","7","2","2"
"GAIS Bandy","Hammarby IF","2 - 2","765","Max Johansson","s1112","2011-12-14 19:00:00","2011-12-14","19:00:00","2","2","16","4","x"
"TB Västerås","GAIS Bandy","8 - 4","262","Thomas Nordin","s1112","2011-12-16 19:00:00","2011-12-16","19:00:00","8","4","9","16","1"
"Sandvikens AIK/BK","IFK Vänersborg","6 - 6","1701","Ronny Andersson","s1112","2011-12-16 19:00:00","2011-12-16","19:00:00","6","6","13","7","x"
"IFK Kungälv","Hammarby IF","5 - 3","756","Max Johansson","s1112","2011-12-16 19:00:00","2011-12-16","19:00:00","5","3","5","4","1"
"Vetlanda BK","Edsbyns IF","4 - 5","1086","Anders Kristiansson","s1112","2011-12-16 19:00:00","2011-12-16","19:00:00","4","5","10","8","2"
"Bollnäs GIF","Västerås SK/BK","3 - 1","1831","Keijo Hyvärinen","s1112","2011-12-16 19:00:00","2011-12-16","19:00:00","3","1","6","3","1"
"IK Sirius","Villa Lidköping BK","0 - 3","1245","Christoffer Aidesjö","s1112","2011-12-16 19:00:00","2011-12-16","19:00:00","0","3","2","1","2"
"GAIS Bandy","IFK Kungälv","1 - 6","4344","Roland Fager","s1112","2011-12-26 13:15:00","2011-12-26","13:15:00","1","6","16","5","2"
