"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Hammarby IF","IK Sirius","9 - 1","2189","","s1213","2013-01-06 13:15:00","2013-01-06","13:15:00","9","1","4","2","1"
"IFK Motala","Vetlanda BK","2 - 4","836","Anders Kristiansson","s1213","2013-01-06 13:15:00","2013-01-06","13:15:00","2","4","17","10","2"
"Västerås SK/BK","Sandvikens AIK/BK","6 - 7","1821","Keijo Hyvärinen","s1213","2013-01-06 15:00:00","2013-01-06","15:00:00","6","7","3","13","2"
"Edsbyns IF","Bollnäs GIF","7 - 3","1776","Jonas Kandell","s1213","2013-01-06 15:00:00","2013-01-06","15:00:00","7","3","8","6","1"
"Villa Lidköping BK","IFK Vänersborg","7 - 2","4030","Christoffer Aidesjö","s1213","2013-01-06 17:00:00","2013-01-06","17:00:00","7","2","1","7","1"
"GAIS Bandy","IFK Kungälv","7 - 2","1328","Roland Fager","s1213","2013-01-06 17:15:00","2013-01-06","17:15:00","7","2","16","5","1"
"Sandvikens AIK/BK","Villa Lidköping BK","7 - 4","1678","Mikael Karlsson (Grästorp)","s1213","2013-01-09 19:00:00","2013-01-09","19:00:00","7","4","13","1","1"
"Västerås SK/BK","Edsbyns IF","7 - 6","1563","Håkan Sjösten","s1213","2013-01-09 19:00:00","2013-01-09","19:00:00","7","6","3","8","1"
"IFK Kungälv","Broberg/Söderhamn","4 - 5","533","Jonas Kandell","s1213","2013-01-09 19:00:00","2013-01-09","19:00:00","4","5","5","12","2"
"IK Sirius","Bollnäs GIF","6 - 3","888","Anders Kristiansson","s1213","2013-01-09 19:00:00","2013-01-09","19:00:00","6","3","2","6","1"
"Vetlanda BK","IFK Vänersborg","3 - 12","1079","Peter Öhrlund","s1213","2013-01-09 19:00:00","2013-01-09","19:00:00","3","12","10","7","1"
"Hammarby IF","IFK Motala","9 - 3","2390","Håkan Sjösten","s1213","2013-01-11 19:00:00","2013-01-11","19:00:00","9","3","4","17","1"
"Edsbyns IF","GAIS Bandy","4 - 2","1116","Keijo Hyvärinen","s1213","2013-01-11 19:00:00","2013-01-11","19:00:00","4","2","8","16","1"
"Bollnäs GIF","Vetlanda BK","1 - 0","1419","Jacob Hallkvist","s1213","2013-01-11 19:00:00","2013-01-11","19:00:00","1","0","6","10","1"
"Broberg/Söderhamn","Sandvikens AIK/BK","4 - 6","1102","Roland Fager","s1213","2013-01-11 19:00:00","2013-01-11","19:00:00","4","6","12","13","2"
"IFK Vänersborg","IFK Kungälv","5 - 3","2287","Peter Öhrlund","s1213","2013-01-11 19:00:00","2013-01-11","19:00:00","5","3","7","5","1"
"Ljusdals BK","IK Sirius","5 - 8","603","Keijo Hyvärinen","s1213","2013-01-12 16:00:00","2013-01-12","16:00:00","5","8","18","2","2"
"Villa Lidköping BK","Västerås SK/BK","13 - 4","3419","Anders Kristiansson","s1213","2013-01-12 17:00:00","2013-01-12","17:00:00","13","4","1","3","2"
"Edsbyns IF","Sandvikens AIK/BK","0 - 6","1203","Håkan Sjösten","s1213","2013-01-14 19:00:00","2013-01-14","19:00:00","0","6","8","13","2"
"Vetlanda BK","IK Sirius","3 - 4","829","Mikael Karlsson (Grästorp)","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","3","4","10","2","2"
"Sandvikens AIK/BK","IFK Vänersborg","12 - 5","1609","Jonas Kandell","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","12","5","13","7","2"
"GAIS Bandy","Villa Lidköping BK","6 - 9","1523","Peter Öhrlund","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","6","9","16","1","2"
"Västerås SK/BK","Broberg/Söderhamn","3 - 13","1128","Ulrik Bergman","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","3","13","3","12","1"
"Hammarby IF","Ljusdals BK","4 - 4","2561","Daniel Labe","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","4","4","4","18","x"
"IFK Kungälv","Bollnäs GIF","2 - 5","701","Christoffer Aidesjö","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","2","5","5","6","2"
"IFK Motala","Edsbyns IF","3 - 4","536","Jacob Hallkvist","s1213","2013-01-16 19:00:00","2013-01-16","19:00:00","3","4","17","8","2"
"IFK Vänersborg","Västerås SK/BK","8 - 3","1723","Anders Kristiansson","s1213","2013-01-18 19:00:00","2013-01-18","19:00:00","8","3","7","3","1"
"Broberg/Söderhamn","GAIS Bandy","4 - 2","547","Mikael Karlsson (Uppsala)","s1213","2013-01-18 19:00:00","2013-01-18","19:00:00","4","2","12","16","1"
"Edsbyns IF","Hammarby IF","7 - 4","1339","Roland Fager","s1213","2013-01-18 19:15:00","2013-01-18","19:15:00","7","4","8","4","1"
"IK Sirius","IFK Kungälv","3 - 3","766","Keijo Hyvärinen","s1213","2013-01-19 15:00:00","2013-01-19","15:00:00","3","3","2","5","x"
"Ljusdals BK","Vetlanda BK","3 - 5","598","Jonas Kandell","s1213","2013-01-19 16:00:00","2013-01-19","16:00:00","3","5","18","10","2"
"Bollnäs GIF","Sandvikens AIK/BK","5 - 4","1429","Håkan Sjösten","s1213","2013-01-19 17:00:00","2013-01-19","17:00:00","5","4","6","13","1"
"Villa Lidköping BK","IFK Motala","7 - 2","2818","Ulrik Bergman","s1213","2013-01-19 17:00:00","2013-01-19","17:00:00","7","2","1","17","1"
"Sandvikens AIK/BK","IK Sirius","7 - 2","1502","Håkan Sjösten","s1213","2013-02-05 18:00:00","2013-02-05","18:00:00","7","2","13","2","1"
"GAIS Bandy","IFK Vänersborg","3 - 3","714","Daniel Labe","s1213","2013-02-05 19:00:00","2013-02-05","19:00:00","3","3","16","7","x"
"IFK Motala","Broberg/Söderhamn","2 - 6","446","Ulrik Bergman","s1213","2013-02-06 18:30:00","2013-02-06","18:30:00","2","6","17","12","2"
"Edsbyns IF","Ljusdals BK","7 - 2","1095","Mikael Karlsson (Uppsala)","s1213","2013-02-06 19:00:00","2013-02-06","19:00:00","7","2","8","18","1"
"Hammarby IF","Villa Lidköping BK","4 - 6","2782","Peter Öhrlund","s1213","2013-02-06 19:00:00","2013-02-06","19:00:00","4","6","4","1","2"
"IFK Kungälv","Vetlanda BK","3 - 4","1316","Christoffer Aidesjö","s1213","2013-02-06 19:00:00","2013-02-06","19:00:00","3","4","5","10","2"
"Västerås SK/BK","Bollnäs GIF","3 - 5","851","Mikael Karlsson (Grästorp)","s1213","2013-02-06 19:00:00","2013-02-06","19:00:00","3","5","3","6","2"
"Broberg/Söderhamn","Hammarby IF","1 - 5","1040","Keijo Hyvärinen","s1213","2013-02-08 19:00:00","2013-02-08","19:00:00","1","5","12","4","2"
"Bollnäs GIF","GAIS Bandy","0 - 1","1013","Mikael Karlsson (Uppsala)","s1213","2013-02-08 19:00:00","2013-02-08","19:00:00","0","1","6","16","2"
"Vetlanda BK","Sandvikens AIK/BK","3 - 6","1348","Jonas Kandell","s1213","2013-02-08 19:00:00","2013-02-08","19:00:00","3","6","10","13","2"
"Ljusdals BK","IFK Kungälv","1 - 5","412","Ulrik Bergman","s1213","2013-02-08 19:00:00","2013-02-08","19:00:00","1","5","18","5","2"
"IFK Vänersborg","IFK Motala","8 - 5","1905","Christoffer Aidesjö","s1213","2013-02-08 19:00:00","2013-02-08","19:00:00","8","5","7","17","1"
"IK Sirius","Västerås SK/BK","4 - 2","2375","Roland Fager","s1213","2013-02-08 19:10:00","2013-02-08","19:10:00","4","2","2","3","1"
"Villa Lidköping BK","Edsbyns IF","5 - 5","3778","Mikael Karlsson (Grästorp)","s1213","2013-02-08 19:15:00","2013-02-08","19:15:00","5","5","1","8","x"
"Västerås SK/BK","Vetlanda BK","7 - 2","2576","Christoffer Aidesjö","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","7","2","3","10","1"
"IFK Motala","Bollnäs GIF","1 - 5","342","Roland Fager","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","1","5","17","6","2"
"Villa Lidköping BK","Ljusdals BK","11 - 1","2309","Jonas Kandell","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","11","1","1","18","1"
"GAIS Bandy","IK Sirius","4 - 1","472","Peter Öhrlund","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","4","1","16","2","1"
"Hammarby IF","IFK Vänersborg","5 - 2","5099","Juha-Matti Kanniainen","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","5","2","4","7","1"
"Edsbyns IF","Broberg/Söderhamn","5 - 2","1591","Håkan Sjösten","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","5","2","8","12","1"
"Sandvikens AIK/BK","IFK Kungälv","6 - 2","2607","Keijo Hyvärinen","s1213","2013-02-10 16:15:00","2013-02-10","16:15:00","6","2","13","5","1"
"Ljusdals BK","Sandvikens AIK/BK","4 - 6","308","Mikael Karlsson (Uppsala)","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","4","6","18","13","2"
"Broberg/Söderhamn","Villa Lidköping BK","6 - 7","340","Ulrik Bergman","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","6","7","12","1","2"
"IFK Vänersborg","Edsbyns IF","4 - 3","1222","Anders Kristiansson","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","4","3","7","8","1"
"IFK Kungälv","Västerås SK/BK","6 - 1","609","Peter Öhrlund","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","6","1","5","3","1"
"Vetlanda BK","GAIS Bandy","3 - 4","1110","Jonas Kandell","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","3","4","10","16","2"
"IK Sirius","IFK Motala","5 - 1","713","Jacob Hallkvist","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","5","1","2","17","1"
"Bollnäs GIF","Hammarby IF","7 - 2","1131","Roland Fager","s1213","2013-02-12 19:15:00","2013-02-12","19:15:00","7","2","6","4","1"
"Västerås SK/BK","Hammarby IF","3 - 4","3478","Håkan Sjösten","s1314","2013-10-20 14:45:00","2013-10-20","14:45:00","3","4","3","4","2"
"Kalix Bandy","Vetlanda BK","2 - 4","1210","Keijo Hyvärinen","s1314","2013-10-25 19:00:00","2013-10-25","19:00:00","2","4","15","10","2"
"Sandvikens AIK/BK","Västerås SK/BK","7 - 5","1605","Ulrik Bergman","s1314","2013-10-25 19:00:00","2013-10-25","19:00:00","7","5","13","3","1"
"IFK Vänersborg","Villa Lidköping BK","5 - 5","3627","Håkan Sjösten","s1314","2013-10-25 19:00:00","2013-10-25","19:00:00","5","5","7","1","x"
"IK Sirius","Hammarby IF","3 - 3","2150","Jonas Kandell","s1314","2013-10-25 19:00:00","2013-10-25","19:00:00","3","3","2","4","x"
"Bollnäs GIF","Edsbyns IF","3 - 5","3127","Roland Fager","s1314","2013-10-25 19:00:00","2013-10-25","19:00:00","3","5","6","8","2"
"IFK Vänersborg","Sandvikens AIK/BK","4 - 5","1606","Jonas Kandell","s1314","2013-10-29 19:15:00","2013-10-29","19:15:00","4","5","7","13","2"
"Västerås SK/BK","Bollnäs GIF","4 - 2","1428","Mikael Karlsson (Grästorp)","s1314","2013-10-30 19:00:00","2013-10-30","19:00:00","4","2","3","6","1"
"Villa Lidköping BK","Kalix Bandy","9 - 2","3170","Anders Kristiansson","s1314","2013-10-30 19:00:00","2013-10-30","19:00:00","9","2","1","15","1"
"Edsbyns IF","IFK Kungälv","7 - 6","2236","Christoffer Aidesjö","s1314","2013-10-30 19:00:00","2013-10-30","19:00:00","7","6","8","5","1"
"Vetlanda BK","IK Sirius","2 - 2","1047","Jacob Hallkvist","s1314","2013-10-30 19:00:00","2013-10-30","19:00:00","2","2","10","2","x"
"Bollnäs GIF","IFK Vänersborg","4 - 4","1309","Ulrik Bergman","s1314","2013-11-01 19:00:00","2013-11-01","19:00:00","4","4","6","7","x"
"Kalix Bandy","Sandvikens AIK/BK","4 - 4","810","Peteri Kuusela","s1314","2013-11-01 19:00:00","2013-11-01","19:00:00","4","4","15","13","x"
"IK Sirius","Villa Lidköping BK","4 - 7","775","Håkan Sjösten","s1314","2013-11-01 19:00:00","2013-11-01","19:00:00","4","7","2","1","2"
"Broberg/Söderhamn","Hammarby IF","5 - 6","1058","Keijo Hyvärinen","s1314","2013-11-01 19:00:00","2013-11-01","19:00:00","5","6","12","4","2"
"Ljusdals BK","Vetlanda BK","4 - 4","903","Roland Fager","s1314","2013-11-01 19:00:00","2013-11-01","19:00:00","4","4","18","10","x"
"GAIS Bandy","Edsbyns IF","2 - 5","411","Anders Kristiansson","s1314","2013-11-01 19:00:00","2013-11-01","19:00:00","2","5","16","8","2"
"Sandvikens AIK/BK","IK Sirius","13 - 1","2127","Keijo Hyvärinen","s1314","2013-11-03 17:00:00","2013-11-03","17:00:00","13","1","13","2","1"
"Kalix Bandy","Bollnäs GIF","5 - 2","801","Juha-Matti Kannianen","s1314","2013-11-05 19:15:00","2013-11-05","19:15:00","5","2","15","6","1"
"Villa Lidköping BK","Ljusdals BK","9 - 0","2576","Jonas Kandell","s1314","2013-11-06 19:00:00","2013-11-06","19:00:00","9","0","1","18","1"
"IFK Vänersborg","IFK Kungälv","4 - 6","1612","Mikael Hillerius","s1314","2013-11-06 19:00:00","2013-11-06","19:00:00","4","6","7","5","2"
"Edsbyns IF","Broberg/Söderhamn","6 - 1","1593","Christoffer Aidesjö","s1314","2013-11-06 19:00:00","2013-11-06","19:00:00","6","1","8","12","1"
"Vetlanda BK","Hammarby IF","8 - 9","1498","Mikael Karlsson (Grästorp)","s1314","2013-11-06 19:00:00","2013-11-06","19:00:00","8","9","10","4","2"
"Västerås SK/BK","GAIS Bandy","6 - 4","1182","Ulrik Bergman","s1314","2013-11-06 19:00:00","2013-11-06","19:00:00","6","4","3","16","1"
"GAIS Bandy","IFK Vänersborg","1 - 2","507","Jacob Hallkvist","s1314","2013-11-08 18:30:00","2013-11-08","18:30:00","1","2","16","7","2"
"Ljusdals BK","Sandvikens AIK/BK","3 - 8","741","Anders Kristiansson","s1314","2013-11-08 19:00:00","2013-11-08","19:00:00","3","8","18","13","2"
"Broberg/Söderhamn","Vetlanda BK","6 - 4","876","Christoffer Aidesjö","s1314","2013-11-08 19:00:00","2013-11-08","19:00:00","6","4","12","10","1"
"Edsbyns IF","Västerås SK/BK","5 - 2","1425","Mikael Hillerius","s1314","2013-11-08 19:00:00","2013-11-08","19:00:00","5","2","8","3","1"
"Hammarby IF","Villa Lidköping BK","3 - 3","3101","Roland Fager","s1314","2013-11-08 19:00:00","2013-11-08","19:00:00","3","3","4","1","x"
"IFK Kungälv","Kalix Bandy","8 - 0","531","Håkan Sjösten","s1314","2013-11-08 21:30:00","2013-11-08","21:30:00","8","0","5","15","1"
"IK Sirius","Bollnäs GIF","1 - 7","698","Peter Öhrlund","s1314","2013-11-09 15:00:00","2013-11-09","15:00:00","1","7","2","6","2"
"GAIS Bandy","Kalix Bandy","4 - 3","223","Mikael Karlsson (Grästorp)","s1314","2013-11-10 13:15:00","2013-11-10","13:15:00","4","3","16","15","1"
"Sandvikens AIK/BK","Hammarby IF","5 - 3","1721","Christoffer Aidesjö","s1314","2013-11-12 19:15:00","2013-11-12","19:15:00","5","3","13","4","1"
"Bollnäs GIF","Ljusdals BK","5 - 1","1516","Peter Öhrlund","s1314","2013-11-13 19:00:00","2013-11-13","19:00:00","5","1","6","18","1"
"IK Sirius","IFK Kungälv","4 - 4","778","Jacob Hallkvist","s1314","2013-11-13 19:00:00","2013-11-13","19:00:00","4","4","2","5","x"
"Västerås SK/BK","Broberg/Söderhamn","5 - 2","1089","Roland Fager","s1314","2013-11-13 19:00:00","2013-11-13","19:00:00","5","2","3","12","1"
"Villa Lidköping BK","Vetlanda BK","8 - 3","2759","Jonas Kandell","s1314","2013-11-13 19:00:00","2013-11-13","19:00:00","8","3","1","10","1"
"IFK Vänersborg","Edsbyns IF","5 - 2","1791","Anders Kristiansson","s1314","2013-11-13 19:00:00","2013-11-13","19:00:00","5","2","7","8","1"
"GAIS Bandy","IK Sirius","5 - 2","203","Peter Öhrlund","s1314","2013-11-15 18:00:00","2013-11-15","18:00:00","5","2","16","2","1"
"Ljusdals BK","IFK Kungälv","2 - 1","660","Mikael Hillerius","s1314","2013-11-15 18:00:00","2013-11-15","18:00:00","2","1","18","5","1"
"Edsbyns IF","Kalix Bandy","5 - 5","1120","Håkan Sjösten","s1314","2013-11-15 18:00:00","2013-11-15","18:00:00","5","5","8","15","x"
"Vetlanda BK","Sandvikens AIK/BK","3 - 6","761","Mikael Karlsson (Grästorp)","s1314","2013-11-15 18:00:00","2013-11-15","18:00:00","3","6","10","13","2"
"Västerås SK/BK","IFK Vänersborg","6 - 4","886","Ulrik Bergman","s1314","2013-11-15 18:14:00","2013-11-15","18:14:00","6","4","3","7","1"
"Hammarby IF","Bollnäs GIF","8 - 7","2012","Keijo Hyvärinen","s1314","2013-11-16 14:00:00","2013-11-16","14:00:00","8","7","4","6","1"
"Broberg/Söderhamn","Villa Lidköping BK","4 - 2","765","Christoffer Aidesjö","s1314","2013-11-16 18:00:00","2013-11-16","18:00:00","4","2","12","1","1"
"Sandvikens AIK/BK","Villa Lidköping BK","12 - 3","1592","Ulrik Bergman","s1314","2013-11-20 18:00:00","2013-11-20","18:00:00","12","3","13","1","2"
"IK Sirius","Edsbyns IF","1 - 8","602","Christoffer Aidesjö","s1314","2013-11-20 19:00:00","2013-11-20","19:00:00","1","8","2","8","2"
"IFK Kungälv","Hammarby IF","2 - 6","853","Roland Fager","s1314","2013-11-20 19:00:00","2013-11-20","19:00:00","2","6","5","4","2"
"Ljusdals BK","GAIS Bandy","3 - 2","686","Håkan Sjösten","s1314","2013-11-20 19:00:00","2013-11-20","19:00:00","3","2","18","16","1"
"IFK Vänersborg","Broberg/Söderhamn","4 - 6","1423","Jonas Kandell","s1314","2013-11-20 19:00:00","2013-11-20","19:00:00","4","6","7","12","2"
"Kalix Bandy","Västerås SK/BK","0 - 4","792","Keijo Hyvärinen","s1314","2013-11-20 19:00:00","2013-11-20","19:00:00","0","4","15","3","2"
"Bollnäs GIF","Vetlanda BK","2 - 4","1113","Jacob Hallkvist","s1314","2013-11-20 19:00:00","2013-11-20","19:00:00","2","4","6","10","2"
"Edsbyns IF","Ljusdals BK","1 - 1","1218","Mikael Karlsson (Grästorp)","s1314","2013-11-22 19:00:00","2013-11-22","19:00:00","1","1","8","18","x"
"Hammarby IF","GAIS Bandy","6 - 3","2103","Mikael Hillerius","s1314","2013-11-22 19:00:00","2013-11-22","19:00:00","6","3","4","16","1"
"Broberg/Söderhamn","Sandvikens AIK/BK","4 - 6","1011","Jonas Kandell","s1314","2013-11-22 19:00:00","2013-11-22","19:00:00","4","6","12","13","2"
"Vetlanda BK","IFK Kungälv","9 - 2","647","Ulrik Bergman","s1314","2013-11-22 19:15:00","2013-11-22","19:15:00","9","2","10","5","1"
"Villa Lidköping BK","Bollnäs GIF","6 - 3","3176","Daniel Labe","s1314","2013-11-23 17:00:00","2013-11-23","17:00:00","6","3","1","6","1"
"IFK Vänersborg","Kalix Bandy","7 - 2","1173","Peter Öhrlund","s1314","2013-11-23 20:00:00","2013-11-23","20:00:00","7","2","7","15","1"
"Västerås SK/BK","IK Sirius","8 - 5","944","Rasmus Lundin","s1314","2013-11-24 15:00:00","2013-11-24","15:00:00","8","5","3","2","1"
"Ljusdals BK","Västerås SK/BK","3 - 11","692","Christoffer Aidesjö","s1314","2013-11-26 19:00:00","2013-11-26","19:00:00","3","11","18","3","1"
"GAIS Bandy","Vetlanda BK","2 - 3","403","Roland Fager","s1314","2013-11-26 19:00:00","2013-11-26","19:00:00","2","3","16","10","2"
"Kalix Bandy","Broberg/Söderhamn","4 - 4","418","Juha-Matti Kannianen","s1314","2013-11-26 19:00:00","2013-11-26","19:00:00","4","4","15","12","x"
"Bollnäs GIF","Sandvikens AIK/BK","6 - 6","1023","Mikael Hillerius","s1314","2013-11-26 19:00:00","2013-11-26","19:00:00","6","6","6","13","x"
"IK Sirius","IFK Vänersborg","2 - 9","603","Anders Kristiansson","s1314","2013-11-26 19:00:00","2013-11-26","19:00:00","2","9","2","7","2"
"Hammarby IF","Edsbyns IF","4 - 1","2354","Håkan Sjösten","s1314","2013-11-26 19:15:00","2013-11-26","19:15:00","4","1","4","8","1"
"IFK Kungälv","Villa Lidköping BK","3 - 3","959","Jacob Hallkvist","s1314","2013-11-27 19:00:00","2013-11-27","19:00:00","3","3","5","1","x"
"IFK Vänersborg","Ljusdals BK","7 - 3","1464","Håkan Sjösten","s1314","2013-11-29 19:00:00","2013-11-29","19:00:00","7","3","7","18","1"
"Vetlanda BK","Edsbyns IF","4 - 8","785","Peter Öhrlund","s1314","2013-11-29 19:00:00","2013-11-29","19:00:00","4","8","10","8","2"
"Broberg/Söderhamn","Bollnäs GIF","4 - 4","2110","Jonas Kandell","s1314","2013-11-29 19:00:00","2013-11-29","19:00:00","4","4","12","6","x"
"Sandvikens AIK/BK","IFK Kungälv","11 - 1","1652","Keijo Hyvärinen","s1314","2013-11-29 19:15:00","2013-11-29","19:15:00","11","1","13","5","1"
"Villa Lidköping BK","GAIS Bandy","5 - 3","2878","Roland Fager","s1314","2013-11-29 20:00:00","2013-11-29","20:00:00","5","3","1","16","1"
"GAIS Bandy","Broberg/Söderhamn","4 - 3","328","Mikael Karlsson (Grästorp)","s1314","2013-12-01 15:00:00","2013-12-01","15:00:00","4","3","16","12","1"
"Kalix Bandy","IK Sirius","2 - 4","422","Petteri Kuusela","s1314","2013-12-01 15:00:00","2013-12-01","15:00:00","2","4","15","2","2"
"Hammarby IF","Ljusdals BK","10 - 4","2145","Mikael Hillerius","s1314","2013-12-03 19:00:00","2013-12-03","19:00:00","10","4","4","18","2"
"Villa Lidköping BK","Västerås SK/BK","7 - 5","2770","Peter Öhrlund","s1314","2013-12-03 19:15:00","2013-12-03","19:15:00","7","5","1","3","1"
"IFK Kungälv","GAIS Bandy","3 - 3","1002","Mikael Karlsson (Grästorp)","s1314","2013-12-11 19:00:00","2013-12-11","19:00:00","3","3","5","16","x"
"Sandvikens AIK/BK","IFK Vänersborg","10 - 5","1225","Ulrik Bergman","s1314","2013-12-11 19:00:00","2013-12-11","19:00:00","10","5","13","7","2"
"Bollnäs GIF","Hammarby IF","2 - 8","1217","Peter Öhrlund","s1314","2013-12-11 19:00:00","2013-12-11","19:00:00","2","8","6","4","2"
"Västerås SK/BK","Vetlanda BK","10 - 3","1073","Alexander Korobkov","s1314","2013-12-13 19:00:00","2013-12-13","19:00:00","10","3","3","10","2"
"Edsbyns IF","Villa Lidköping BK","8 - 10","1247","Roland Fager","s1314","2013-12-13 19:00:00","2013-12-13","19:00:00","8","10","8","1","1"
"GAIS Bandy","Sandvikens AIK/BK","3 - 3","478","Anders Kristiansson","s1314","2013-12-13 19:00:00","2013-12-13","19:00:00","3","3","16","13","x"
"IFK Kungälv","Bollnäs GIF","3 - 6","398","Mikael Karlsson (Grästorp)","s1314","2013-12-14 14:00:00","2013-12-14","14:00:00","3","6","5","6","2"
"IK Sirius","Broberg/Söderhamn","5 - 5","505","Alexander Korobkov","s1314","2013-12-14 15:00:00","2013-12-14","15:00:00","5","5","2","12","x"
"Hammarby IF","IFK Vänersborg","4 - 1","5586","Christoffer Aidesjö","s1314","2013-12-14 15:15:00","2013-12-14","15:15:00","4","1","4","7","1"
"Ljusdals BK","Kalix Bandy","1 - 3","589","Håkan Sjösten","s1314","2013-12-14 16:00:00","2013-12-14","16:00:00","1","3","18","15","2"
"Broberg/Söderhamn","IFK Kungälv","6 - 5","587","Jonas Kandell","s1314","2013-12-17 19:00:00","2013-12-17","19:00:00","6","5","12","5","1"
"Sandvikens AIK/BK","Edsbyns IF","4 - 7","1267","Mikael Hillerius","s1314","2013-12-18 19:00:00","2013-12-18","19:00:00","4","7","13","8","2"
"IFK Vänersborg","Vetlanda BK","6 - 3","1433","Peter Öhrlund","s1314","2013-12-18 19:00:00","2013-12-18","19:00:00","6","3","7","10","1"
"IK Sirius","Ljusdals BK","2 - 2","719","Keijo Hyvärinen","s1314","2013-12-18 19:00:00","2013-12-18","19:00:00","2","2","2","18","x"
"Kalix Bandy","Hammarby IF","2 - 2","629","Juha-Matti Kannianen","s1314","2013-12-18 19:00:00","2013-12-18","19:00:00","2","2","15","4","x"
"IFK Kungälv","Västerås SK/BK","3 - 4","575","Jacob Hallkvist","s1314","2013-12-20 19:00:00","2013-12-20","19:00:00","3","4","5","3","2"
"Bollnäs GIF","GAIS Bandy","3 - 1","1514","Ulrik Bergman","s1314","2013-12-20 19:00:00","2013-12-20","19:00:00","3","1","6","16","1"
"Broberg/Söderhamn","Ljusdals BK","8 - 2","1234","Michael Hillerius","s1314","2013-12-21 17:00:00","2013-12-21","17:00:00","8","2","12","18","1"
"Villa Lidköping BK","IK Sirius","8 - 3","2721","Anders Kristiansson","s1314","2013-12-21 17:00:00","2013-12-21","17:00:00","8","3","1","2","1"
"Hammarby IF","IK Sirius","10 - 1","6347","Roland Fager","s1314","2013-12-26 13:15:00","2013-12-26","13:15:00","10","1","4","2","1"
"Edsbyns IF","Bollnäs GIF","3 - 2","4051","Jonas Kandell","s1314","2013-12-26 15:00:00","2013-12-26","15:00:00","3","2","8","6","1"
"Västerås SK/BK","Sandvikens AIK/BK","7 - 10","4373","Håkan Sjösten","s1314","2013-12-26 15:00:00","2013-12-26","15:00:00","7","10","3","13","1"
"GAIS Bandy","IFK Kungälv","3 - 7","2256","Christoffer Aidesjö","s1314","2013-12-26 15:00:00","2013-12-26","15:00:00","3","7","16","5","2"
"Vetlanda BK","Kalix Bandy","9 - 0","1596","Jacob Hallkvist","s1314","2013-12-26 16:00:00","2013-12-26","16:00:00","9","0","10","15","1"
"Villa Lidköping BK","IFK Vänersborg","6 - 2","5027","Peter Öhrlund","s1314","2013-12-26 17:00:00","2013-12-26","17:00:00","6","2","1","7","1"
"Ljusdals BK","Broberg/Söderhamn","0 - 6","1605","Mikael Karlsson (Grästorp)","s1314","2013-12-26 17:15:00","2013-12-26","17:15:00","0","6","18","12","2"
"Kalix Bandy","Villa Lidköping BK","2 - 4","606","Keijo Hyvärinen","s1314","2013-12-28 13:15:00","2013-12-28","13:15:00","2","4","15","1","2"
"IK Sirius","Vetlanda BK","1 - 7","510","Jacob Hallkvist","s1314","2013-12-28 15:00:00","2013-12-28","15:00:00","1","7","2","10","2"
"Broberg/Söderhamn","GAIS Bandy","5 - 4","888","Håkan Sjösten","s1314","2013-12-28 15:00:00","2013-12-28","15:00:00","5","4","12","16","1"
"IFK Kungälv","Edsbyns IF","5 - 2","803","Mikael Hillerius","s1314","2013-12-28 17:00:00","2013-12-28","17:00:00","5","2","5","8","1"
"Ljusdals BK","Hammarby IF","3 - 5","661","Jonas Kandell","s1314","2013-12-28 17:00:00","2013-12-28","17:00:00","3","5","18","4","2"
"Bollnäs GIF","Västerås SK/BK","3 - 6","1320","Roland Fager","s1314","2013-12-28 17:15:00","2013-12-28","17:15:00","3","6","6","3","2"
"Västerås SK/BK","IFK Kungälv","7 - 3","1096","Ulrik Bergman","s1314","2013-12-30 19:00:00","2013-12-30","19:00:00","7","3","3","5","1"
"IFK Vänersborg","Bollnäs GIF","9 - 2","1689","Anders Kristiansson","s1314","2013-12-30 19:00:00","2013-12-30","19:00:00","9","2","7","6","1"
"Sandvikens AIK/BK","Kalix Bandy","13 - 4","1357","Mikael Hillerius","s1314","2013-12-30 19:00:00","2013-12-30","19:00:00","13","4","13","15","2"
"Hammarby IF","Broberg/Söderhamn","10 - 4","2158","Rasmus Lundin","s1314","2013-12-30 19:00:00","2013-12-30","19:00:00","10","4","4","12","2"
"Edsbyns IF","GAIS Bandy","4 - 4","1143","Roland Fager","s1314","2013-12-30 19:00:00","2013-12-30","19:00:00","4","4","8","16","x"
