Source page: http://elitrapport.se/schema1213.asp?gamesectionID=10008,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report2997.html","020000001031","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report2997.html","2 - 5","","http://www.elitrapport.se/Data/report2997.html","Matchrapport","","2012-11-10 15:00","1352505600000","-","234","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report2998.html","020000001034","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/Data/report2998.html","4 - 4","","http://www.elitrapport.se/Data/report2998.html","Matchrapport","","2012-11-10 16:00","1352505600000","-","839","Christoffer Aidesjö"
"http://www.elitrapport.se/Data/report2999.html","020000001033","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/Data/report2999.html","5 - 3","","http://www.elitrapport.se/Data/report2999.html","Matchrapport","","2012-11-10 16:00","1352505600000","-","979","Anders Kristiansson"
"http://www.elitrapport.se/Data/report2996.html","020000001032","","http://www.elitrapport.se/team.asp?teamID=123","IFK Motala","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report2996.html","2 - 6","","http://www.elitrapport.se/Data/report2996.html","Matchrapport","","2012-11-10 17:00","1352505600000","-","590","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report3000.html","020000001042","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/Data/report3000.html","5 - 1","","http://www.elitrapport.se/Data/report3000.html","Matchrapport","","2012-11-13 19:00","1352764800000","-","3037","Christoffer Aidesjö"
"http://www.elitrapport.se/Data/report3004.html","020000001036","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report3004.html","3 - 9","","http://www.elitrapport.se/Data/report3004.html","Matchrapport","","2012-11-13 19:15","1352764800000","-","863","Jonas Kandell"
"http://www.elitrapport.se/Data/report3001.html","020000001039","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report3001.html","6 - 6","","http://www.elitrapport.se/Data/report3001.html","Matchrapport","","2012-11-14 19:00","1352851200000","-","858","Mikael Karlsson (Uppsala)"
"http://www.elitrapport.se/Data/report3002.html","020000001040","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report3002.html","1 - 2","","http://www.elitrapport.se/Data/report3002.html","Matchrapport","","2012-11-14 19:00","1352851200000","-","855",""
"http://www.elitrapport.se/Data/report3003.html","020000001041","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report3003.html","2 - 6","","http://www.elitrapport.se/Data/report3003.html","Matchrapport","","2012-11-14 19:00","1352851200000","-","1428","Peter Öhrlund"
"http://www.elitrapport.se/Data/report3005.html","020000001037","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/Data/report3005.html","2 - 2","","http://www.elitrapport.se/Data/report3005.html","Matchrapport","","2012-11-14 19:00","1352851200000","-","1358","Ulrik Bergman"
"http://www.elitrapport.se/Data/report3006.html","020000001038","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=123","IFK Motala","","http://www.elitrapport.se/Data/report3006.html","6 - 3","","http://www.elitrapport.se/Data/report3006.html","Matchrapport","","2012-11-14 19:00","1352851200000","-","1103","Roland Fager"
